Iteration,"DQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,0.000,0) score","DQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,0.000,0) interval","DDQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,1.000,200,0.000,0) score","DDQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,1.000,200,0.000,0) interval"
1000,10.4,0.2,0.0,0.0
2000,26.3,0.3,26.1,0.3
3000,38.8,0.4,38.9,0.4
4000,45.3,0.5,45.4,0.5
5000,49.2,0.5,49.4,0.5
6000,51.8,0.5,52.0,0.5
7000,53.8,0.6,53.9,0.5
8000,55.2,0.6,55.3,0.5
9000,56.3,0.6,56.4,0.6
10000,57.2,0.6,57.3,0.6
11000,58.0,0.6,58.1,0.6
12000,58.6,0.6,58.7,0.6
13000,59.2,0.6,59.2,0.6
14000,59.6,0.6,59.6,0.6
15000,60.0,0.6,60.0,0.6
16000,60.4,0.6,60.3,0.6
17000,60.7,0.6,60.7,0.6
18000,61.0,0.6,60.9,0.6
19000,61.2,0.6,61.2,0.6
20000,61.4,0.6,61.4,0.6
21000,61.6,0.6,61.6,0.6
22000,61.8,0.6,61.7,0.6
23000,62.0,0.6,61.9,0.6
24000,62.1,0.6,62.1,0.6
25000,62.3,0.6,62.2,0.6
26000,62.4,0.6,62.3,0.6
27000,62.5,0.6,62.4,0.6
28000,62.7,0.6,62.5,0.6
29000,62.8,0.6,62.6,0.6
30000,62.9,0.6,62.7,0.6
31000,62.9,0.6,62.8,0.6
32000,63.0,0.6,62.9,0.6
33000,63.1,0.6,63.0,0.6
34000,63.2,0.6,63.1,0.6
35000,63.3,0.6,63.1,0.6
36000,63.3,0.6,63.2,0.6
37000,63.4,0.6,63.3,0.6
38000,63.5,0.6,63.3,0.6
39000,63.5,0.6,63.4,0.6
40000,63.6,0.6,63.4,0.6
41000,63.6,0.6,63.5,0.6
42000,63.7,0.6,63.5,0.6
43000,63.7,0.6,63.6,0.6
44000,63.8,0.6,63.6,0.6
45000,63.8,0.6,63.7,0.6
46000,63.9,0.6,63.7,0.6
47000,63.9,0.6,63.7,0.6
48000,63.9,0.6,63.8,0.6
49000,64.0,0.6,63.8,0.6
50000,64.0,0.6,63.8,0.6
51000,64.0,0.6,63.9,0.6
52000,64.1,0.6,63.9,0.6
53000,64.1,0.6,63.9,0.6
54000,64.1,0.6,64.0,0.6
55000,64.2,0.6,64.0,0.6
56000,64.2,0.6,64.0,0.6
57000,64.2,0.6,64.0,0.6
58000,64.2,0.6,64.1,0.6
59000,64.3,0.6,64.1,0.6
60000,64.3,0.6,64.1,0.6
61000,64.3,0.6,64.1,0.6
62000,64.3,0.6,64.2,0.6
63000,64.3,0.6,64.2,0.6
64000,64.4,0.6,64.2,0.6
65000,64.4,0.6,64.2,0.6
66000,64.4,0.6,64.2,0.6
67000,64.4,0.6,64.3,0.6
68000,64.4,0.6,64.3,0.6
69000,64.5,0.6,64.3,0.6
70000,64.5,0.6,64.3,0.6
71000,64.5,0.6,64.3,0.6
72000,64.5,0.6,64.3,0.6
73000,64.5,0.6,64.3,0.6
74000,64.5,0.6,64.4,0.6
75000,64.6,0.6,64.4,0.6
76000,64.6,0.6,64.4,0.6
77000,64.6,0.6,64.4,0.6
78000,64.6,0.6,64.4,0.6
79000,64.6,0.6,64.4,0.6
80000,64.6,0.6,64.4,0.6
81000,64.6,0.6,64.5,0.6
82000,64.6,0.6,64.5,0.6
83000,64.7,0.6,64.5,0.6
84000,64.7,0.6,64.5,0.6
85000,64.7,0.6,64.5,0.6
86000,64.7,0.6,64.5,0.6
87000,64.7,0.6,64.5,0.6
88000,64.7,0.6,64.5,0.6
89000,64.7,0.6,64.5,0.6
90000,64.7,0.6,64.6,0.6
91000,64.7,0.6,64.6,0.6
92000,64.8,0.6,64.6,0.6
93000,64.8,0.6,64.6,0.6
94000,64.8,0.6,64.6,0.6
95000,64.8,0.6,64.6,0.6
96000,64.8,0.6,64.6,0.6
97000,64.8,0.6,64.6,0.6
98000,64.8,0.6,64.6,0.6
99000,64.8,0.6,64.6,0.6
100000,64.8,0.6,64.6,0.6
