Iteration,"DDQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,1.000,200,0.000,0) score","DDQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,1.000,200,0.000,0) interval","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) score","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) interval","DDQ_l(0.0014,0.33,4,1.000,300,176,160,64,1,0,0.485,195,0.970,2) score","DDQ_l(0.0014,0.33,4,1.000,300,176,160,64,1,0,0.485,195,0.970,2) interval"
1000,0.0,0.0,41.9,0.5,49.4,0.6
2000,26.1,0.3,53.3,0.5,56.7,0.6
3000,38.9,0.4,57.3,0.6,59.2,0.6
4000,45.4,0.5,59.3,0.6,60.6,0.6
5000,49.4,0.5,60.6,0.6,61.4,0.6
6000,52.0,0.5,61.4,0.6,61.9,0.7
7000,53.9,0.5,62.0,0.6,62.3,0.7
8000,55.3,0.5,62.5,0.6,62.6,0.7
9000,56.4,0.6,62.8,0.6,62.8,0.7
10000,57.3,0.6,63.1,0.6,63.0,0.7
11000,58.1,0.6,63.3,0.6,63.2,0.7
12000,58.7,0.6,63.5,0.6,63.3,0.7
13000,59.2,0.6,63.7,0.6,63.4,0.7
14000,59.6,0.6,63.8,0.6,63.5,0.7
15000,60.0,0.6,63.9,0.6,63.6,0.7
16000,60.3,0.6,64.0,0.6,63.7,0.7
17000,60.7,0.6,64.1,0.6,63.7,0.7
18000,60.9,0.6,64.2,0.6,63.8,0.7
19000,61.2,0.6,64.3,0.6,63.8,0.7
20000,61.4,0.6,64.4,0.6,63.9,0.7
21000,61.6,0.6,64.4,0.6,63.9,0.7
22000,61.7,0.6,64.5,0.6,64.0,0.7
23000,61.9,0.6,64.6,0.6,64.0,0.7
24000,62.1,0.6,64.6,0.6,64.1,0.7
25000,62.2,0.6,64.6,0.6,64.1,0.7
26000,62.3,0.6,64.7,0.6,64.1,0.7
27000,62.4,0.6,64.7,0.6,64.2,0.7
28000,62.5,0.6,64.8,0.6,64.2,0.7
29000,62.6,0.6,64.8,0.6,64.2,0.7
30000,62.7,0.6,64.8,0.6,64.3,0.7
31000,62.8,0.6,64.9,0.6,64.3,0.7
32000,62.9,0.6,64.9,0.6,64.3,0.7
33000,63.0,0.6,64.9,0.6,64.3,0.7
34000,63.1,0.6,65.0,0.6,64.3,0.7
35000,63.1,0.6,65.0,0.6,64.4,0.7
36000,63.2,0.6,65.0,0.6,64.4,0.7
37000,63.3,0.6,65.0,0.6,64.4,0.7
38000,63.3,0.6,65.0,0.6,64.4,0.7
39000,63.4,0.6,65.1,0.6,64.4,0.7
40000,63.4,0.6,65.1,0.6,64.4,0.7
41000,63.5,0.6,65.1,0.6,64.5,0.7
42000,63.5,0.6,65.1,0.6,64.5,0.7
43000,63.6,0.6,65.1,0.6,64.5,0.7
44000,63.6,0.6,65.2,0.6,64.5,0.7
45000,63.7,0.6,65.2,0.6,64.5,0.7
46000,63.7,0.6,65.2,0.6,64.5,0.7
47000,63.7,0.6,65.2,0.6,64.5,0.7
48000,63.8,0.6,65.2,0.6,64.6,0.7
49000,63.8,0.6,65.2,0.6,64.6,0.7
50000,63.8,0.6,65.2,0.6,64.6,0.7
51000,63.9,0.6,65.2,0.6,64.6,0.7
52000,63.9,0.6,65.3,0.6,64.6,0.7
53000,63.9,0.6,65.3,0.6,64.6,0.7
54000,64.0,0.6,65.3,0.6,64.6,0.7
55000,64.0,0.6,65.3,0.6,64.6,0.7
56000,64.0,0.6,65.3,0.6,64.6,0.7
57000,64.0,0.6,65.3,0.6,64.6,0.7
58000,64.1,0.6,65.3,0.6,64.7,0.7
59000,64.1,0.6,65.3,0.6,64.7,0.7
60000,64.1,0.6,65.3,0.6,64.7,0.7
61000,64.1,0.6,65.3,0.6,64.7,0.7
62000,64.2,0.6,65.3,0.6,64.7,0.7
63000,64.2,0.6,65.3,0.6,64.7,0.7
64000,64.2,0.6,65.3,0.6,64.7,0.7
65000,64.2,0.6,65.4,0.6,64.7,0.7
66000,64.2,0.6,65.4,0.6,64.7,0.7
67000,64.3,0.6,65.4,0.6,64.7,0.7
68000,64.3,0.6,65.4,0.6,64.7,0.7
69000,64.3,0.6,65.4,0.6,64.7,0.7
70000,64.3,0.6,65.4,0.6,64.7,0.7
71000,64.3,0.6,65.4,0.6,64.7,0.7
72000,64.3,0.6,65.4,0.6,64.7,0.7
73000,64.3,0.6,65.4,0.6,64.7,0.7
74000,64.4,0.6,65.4,0.6,64.7,0.7
75000,64.4,0.6,65.4,0.6,64.8,0.7
76000,64.4,0.6,65.4,0.6,64.8,0.7
77000,64.4,0.6,65.4,0.6,64.8,0.7
78000,64.4,0.6,65.4,0.6,64.8,0.7
79000,64.4,0.6,65.4,0.6,64.8,0.7
80000,64.4,0.6,65.4,0.6,64.8,0.7
81000,64.5,0.6,65.4,0.6,64.8,0.7
82000,64.5,0.6,65.4,0.6,64.8,0.7
83000,64.5,0.6,65.4,0.6,64.8,0.7
84000,64.5,0.6,65.4,0.6,64.8,0.7
85000,64.5,0.6,65.4,0.6,64.8,0.7
86000,64.5,0.6,65.4,0.6,64.8,0.7
87000,64.5,0.6,65.4,0.6,64.8,0.7
88000,64.5,0.6,65.4,0.6,64.8,0.7
89000,64.5,0.6,65.4,0.6,64.8,0.7
90000,64.6,0.6,65.4,0.6,64.8,0.7
91000,64.6,0.6,65.4,0.6,64.8,0.7
92000,64.6,0.6,65.5,0.6,64.8,0.7
93000,64.6,0.6,65.5,0.6,64.8,0.7
94000,64.6,0.6,65.5,0.6,64.8,0.7
95000,64.6,0.6,65.5,0.6,64.8,0.7
96000,64.6,0.6,65.5,0.6,64.8,0.7
97000,64.6,0.6,65.5,0.6,64.8,0.7
98000,64.6,0.6,65.5,0.6,64.8,0.7
99000,64.6,0.6,65.5,0.6,64.8,0.7
100000,64.6,0.6,65.5,0.6,64.8,0.7
