Iteration,"H_l(0.0,0.0,0.995,0.01,0.8) score","H_l(0.0,0.0,0.995,0.01,0.8) interval","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) score","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) interval","DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) score","DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) interval","PPO(50,80,80,0.99,0.0003,0.001,0.97,0.2,0.01,{}) score","PPO(50,80,80,0.99,0.0003,0.001,0.97,0.2,0.01,{}) interval","Q_l(0.0,0.5,0.5,0.005,0.95) score","Q_l(0.0,0.5,0.5,0.005,0.95) interval","VPG(50,80, 0.99,0.0003,0.001,0.97,{}) score","VPG(50,80, 0.99,0.0003,0.001,0.97,{}) interval",Freq(0.07) score,Freq(0.07) interval
1000,50.1,0.7,41.9,0.5,42.1,0.5,28.3,0.3,46.5,0.7,0.0,0.0,47.0,0.7
2000,55.8,0.7,53.3,0.5,53.0,0.5,39.3,0.3,47.8,0.7,0.0,0.0,48.8,0.6
3000,58.4,0.7,57.3,0.6,56.9,0.6,45.2,0.4,48.9,0.7,11.3,0.1,49.7,0.6
4000,60.0,0.7,59.3,0.6,58.9,0.6,49.1,0.4,50.0,0.7,14.9,0.2,50.5,0.6
5000,61.0,0.6,60.6,0.6,60.1,0.6,51.6,0.4,51.1,0.7,18.3,0.2,51.0,0.6
6000,61.7,0.6,61.4,0.6,60.9,0.6,53.4,0.4,52.1,0.7,21.4,0.2,51.5,0.6
7000,62.3,0.6,62.0,0.6,61.5,0.6,54.7,0.4,53.1,0.7,24.1,0.2,51.9,0.6
8000,62.7,0.6,62.5,0.6,62.0,0.6,55.7,0.4,53.9,0.7,26.5,0.2,52.2,0.6
9000,63.1,0.6,62.8,0.6,62.4,0.6,56.6,0.4,54.6,0.7,28.8,0.2,52.5,0.6
10000,63.3,0.6,63.1,0.6,62.6,0.6,57.0,0.4,55.3,0.7,30.9,0.3,52.7,0.6
11000,63.6,0.6,63.3,0.6,62.9,0.6,57.5,0.4,55.9,0.7,32.8,0.3,53.0,0.6
12000,63.8,0.6,63.5,0.6,63.1,0.6,58.0,0.4,56.4,0.7,34.6,0.3,53.2,0.6
